Sr No,Ex id,Stock Name,Ticker,Time-frame,Minimum candle history,At,atHour,End date,endHour,Level,Remarks,Entry,Target,Stop-loss,RR ratio,Type of trader,Classification,Remarks
1,4,ICICI Bank,ICICIBANK,60-minute,11/2/20,11/2/20,14:00,11/3/20,9:00,43,407-419,419.1,431.8,412.85,2.032,BTST,Assisted,Click
2,4,HDFC Bank,HDFCBANK,60-minute,11/2/20,11/3/20,10:00,11/4/20,9:00,43,1195.80-1221.35,1240.55,1285.45,1218.1,2,Swing trader,Assisted,Click
3,4,SBI,SBIN,60-minute,11/2/20,11/3/20,9:00,11/4/20,14:00,43,194.75-197.20,199.75,207.45,195.9,2,BTST,Non-Assisted,Click
4,4,Bajaj Finance,BAJFINANCE,60-minute,11/3/20,11/4/20,15:00,11/5/20,12:00,43,3464-3535,3605.4,3708.1,3564.65,2.520245399,BTST,Non-Assisted,Click
5,4,Bajaj Finance,BAJFINANCE,60-minute,11/5/20,11/6/20,12:00,11/9/20,9:00,43,3705-3770,3793.25,3922.8,3728.45,1.999228395,Swing trader,Non-Assisted,Click
6,4,HDFC Bank,HDFCBANK,60-minute,11/6/20,11/9/20,13:00,11/10/20,11:00,43,1315-1336,1342.15,1377.55,1324.45,2,BTST,Non-Assisted,Click
7,4,ICICI Bank,ICICIBANK,60-minute,11/6/20,11/9/20,15:00,11/10/20,9:00,43,449-460,461.2,477.9,452.85,2,BTST,Non-Assisted,Click
8,4,Bajaj Finance,BAJFINANCE,60-minute,11/5/20,11/10/20,9:00,11/10/20,12:00,43,3787-3866,4030.2,4164.4,3963.55,2.013503376,Intraday trader,Non-Assisted,Click
9,4,ICICI Bank,ICICIBANK,60-minute,11/13/20,11/13/20,14:00,11/16/20,9:00,43,470-478,479.8,492,473.7,2,Swing trader,Non-Assisted,Click
10,4,Bank Nifty,NIFTYBANK,60-minute,11/13/20,11/17/20,14:00,11/18/20,13:00,43,28745-29130,29162.6,29611.15,28938.3,1.999777084,BTST,Non-Assisted,Click
11,4,HDFC Bank,HDFCBANK,60-minute,11/12/20,11/20/20,13:00,11/23/20,9:00,43,1365-1395,1401.8,1462.5,1371.45,2,Swing trader,Non-Assisted,Click
12,4,ICICI Bank,ICICIBANK,60-minute,11/26/20,11/26/20,15:00,11/27/20,12:00,43,465.70-473.50,473.25,479.25,470.25,2,Intraday trader,Non-Assisted,Click
13,4,Bank Nifty,NIFTYBANK,60-minute,12/4/20,12/9/20,9:00,12/9/20,14:00,43,30030-30340,30420.25,30741.3,30259.7,1.999688571,Intraday trader,Non-Assisted,Click
14,1,Wipro,WIPRO,60-minute,9/2/20,9/7/20,11:00,9/8/20,9:00,1,Support at 271.35,274.4,289,267.1,2,Swing trader,Assisted,Click
15,1,TCS,TCS,60-minute,9/15/20,9/22/20,15:00,9/23/20,12:00,2,Resistance at 2529,2522.55,2424.95,2571.4,1.997952917,BTST,Assisted,Click
16,1,Wipro,WIPRO,60-minute,9/14/20,9/25/20,9:00,9/25/20,15:00,1,Support at 305,306.9,315.2,302.75,2,Intraday trader,Non-Assisted,Click
17,1,Wipro,WIPRO,60-minute,10/6/20,10/7/20,12:00,10/8/20,9:00,1,Support at 325.85,326.75,342.25,319,2,BTST,Non-Assisted,Click
18,1,Wipro,WIPRO,60-minute,10/12/20,10/13/20,15:00,10/14/20,9:00,2,Resistance at 377.50,375.9,365.9,380.9,2,BTST,Non-Assisted,Click
19,1,Infosys,INFY,60-minute,10/13/20,10/22/20,11:00,10/23/20,10:00,2,Resistance at 1157.80,1140.4,1087.25,1166.95,2.001883239,Swing trader,Non-Assisted,Click
20,1,Infosys,INFY,60-minute,10/30/20,11/2/20,10:00,11/3/20,9:00,1,Support at 1054.50,1064,1095.75,1048.1,1.996855346,Swing trader,Non-Assisted,Click
21,1,Wipro,WIPRO,60-minute,11/10/20,11/11/20,13:00,11/11/20,15:00,1,Support at 341.80,343.5,348.1,341.2,2,Intraday trader,Non-Assisted,Click
22,1,TCS,TCS,60-minute,10/28/20,11/19/20,13:00,11/19/20,15:00,1,Support at 2610.70,2620.6,2670.05,2595.5,1.970119522,Intraday trader,Non-Assisted,Click
23,1,Wipro,WIPRO,60-minute,11/18/20,11/20/20,9:00,11/23/20,11:00,1,Support at 342.65,344.05,350.75,340.7,2,BTST,Non-Assisted,Click
24,5,Divi's Labs,DIVISLAB,60-minute,5/6/20,5/8/20,9:00,5/7/20,9:00,33,-,2290.25,2335.95,2267.4,2,BTST,Assisted,Click
25,5,Divi's Labs,DIVISLAB,60-minute,5/8/20,5/12/20,11:00,5/13/20,14:00,33,-,2340.1,2370.25,2325,1.996688742,Intraday trader,Non-Assisted,Click
26,5,IPCA Labs,IPCALAB,60-minute,5/14/20,5/15/20,14:00,5/18/20,9:00,33,-,1570.6,1611.2,1550.3,2,BTST,Non-Assisted,Click
27,5,Cipla,CIPLA,60-minute,5/20/20,5/22/20,12:00,5/23/20,14:00,33,-,624.55,636.8,618.45,2.008196721,Intraday trader,Non-Assisted,Click
28,2,United Spirits,MCDOWELL-N,15-minute,7/30/21,8/2/21,10:00,8/3/21,9:45,6,Resistance at 648,650.6,664.4,643.7,2,BTST,Assisted,Click
29,2,Britannia,BRITANNIA,15-minute,8/2/21,8/3/21,9:00,8/3/21,9:15,6,Resistance at 3529,3547.35,3598.25,3521.85,1.996078431,BTST,Assisted,Click
30,2,HUL,HINDUNILVR,15-minute,8/9/21,8/12/21,9:45,8/13/21,9:15,6,Resistance at 2395,2404.05,2444.35,2383.9,2,Swing trader,Non-Assisted,Click
31,2,Britannia,BRITANNIA,15-minute,8/10/21,8/16/21,15:00,8/17/21,9:15,6,Resistance at 3643,3645.35,3689.15,3623.55,2.009174312,BTST,Non-Assisted,Click
32,2,HUL,HINDUNILVR,15-minute,8/17/21,8/17/21,14:30,8/18/21,9:15,6,Resistance at 2469,2470.45,2506.15,2452.65,2.005617978,Swing trader,Non-Assisted,Click
33,2,United Spirits,MCDOWELL-N,15-minute,8/12/21,8/18/21,9:30,8/18/21,10:45,6,Resistance at 666,671.65,690.5,662.25,2.005319149,Intraday trader,Non-Assisted,Click
34,2,Varun Beverages,VBL,15-minute,8/18/21,8/20/21,14:45,8/23/21,9:15,6,Resistance at 799,803.05,828.6,790.25,1.99609375,BTST,Non-Assisted,Click
35,2,Britannia,BRITANNIA,15-minute,8/18/21,8/20/21,9:15,8/20/21,14:00,6,Resistance at 3030,3735.5,3843.2,3681.65,2,Intraday trader,Non-Assisted,Click
36,2,United Spirits,MCDOWELL-N,15-minute,8/25/21,8/27/21,10:00,8/26/21,9:15,6,Resistance at 693,695.85,708,689.8,2.008264463,BTST,Non-Assisted,Click
37,2,Pidilite,PIDILITIND,15-minute,8/26/21,8/30/21,9:15,8/27/21,12:00,6,Resistance at 2239,2246.15,2275.3,2231.6,2.003436426,Intraday trader,Non-Assisted,Click
38,3,Bharti Airtel,BHARTIARTL,15-minute,11/1/21,11/2/21,9:15,11/2/21,14:15,2,Resistance at 723.10,715.9,699.6,724,2.012345679,Intraday trader,Non-Assisted,Click
39,3,Reliance Industries,RELIANCE,15-minute,11/1/21,11/3/21,11:15,11/2/21,14:15,5,Support at 12496,2493.05,2470.9,2504.1,2.004524887,Intraday trader,Assisted,Click
40,3,Reliance Industries,RELIANCE,15-minute,11/8/21,11/9/21,15:00,11/9/21,11:15,6,Resistance at 2519,2525.95,2576.3,2500.75,1.998015873,Swing trader,Assisted,Click
41,3,Bharti Airtel,BHARTIARTL,15-minute,11/8/21,11/10/21,10:00,11/9/21,14:15,6,Resistance at 714.70,718.05,735.25,709.5,2.011695906,Intraday trader,Non-Assisted,Click
42,3,Vodafone Idea,IDEA,15-minute,11/2/21,11/11/21,15:00,11/12/21,9:15,1,Support at 9.8,9.9,10.3,9.7,2,BTST,Non-Assisted,Click
43,3,Reliance Industries,RELIANCE,15-minute,11/11/21,11/12/21,11:15,11/12/21,14:30,6,Resistance at 2570,2575.1,2597.5,2563.9,2,Intraday trader,Non-Assisted,Click
44,3,Reliance Industries,RELIANCE,15-minute,11/15/21,11/16/21,9:15,11/16/21,15:15,5,Support at 2570,2559.7,2514.65,2582.35,1.988962472,Intraday trader,Non-Assisted,Click
45,3,Vodafone Idea,IDEA,15-minute,11/11/21,11/18/21,10:45,11/19/21,9:00,1,Support at 9.8,9.9,10.4,9.65,2,BTST,Non-Assisted,Click
46,3,Bharti Airtel,BHARTIARTL,15-minute,11/22/21,11/23/21,12:45,11/23/21,9:30,6,Resistance at 753.95,756,774.65,746.7,2.005376344,BTST,Non-Assisted,Click
47,3,Vodafone Idea,IDEA,15-minute,11/22/21,11/24/21,9:30,11/23/21,14:30,6,Resistance at 10.9,10.95,11.55,10.65,2,BTST,Non-Assisted,Click
48,3,Bharti Airtel,BHARTIARTL,15-minute,11/25/21,11/25/21,14:45,11/26/21,9:45,2,Resistance at 768.05,765.7,751.2,772.95,2,BTST,Non-Assisted,Click
49,3,Vodafone Idea,IDEA,15-minute,11/25/21,12/1/21,10:30,12/2/21,14:15,1,Support at 10.8,10.8,11.65,10.45,2.428571429,Intraday trader,Non-Assisted,Click
50,3,Vodafone Idea,IDEA,15-minute,12/1/21,12/3/21,14:30,12/6/21,11:00,6,Resistance at 13.25,14.05,15.35,13.4,2,BTST,Non-Assisted,Click
51,3,Bharti Airtel,BHARTIARTL,15-minute,12/7/21,12/7/21,11:15,12/8/21,9:15,1,Support at 694.80,696.4,708.55,690.4,2.025,BTST,Non-Assisted,Click
52,3,Vodafone Idea,IDEA,15-minute,12/8/21,12/9/21,9:30,12/9/21,10:00,6,Resistance at 14.85,14.95,15.85,14.5,2,Scalper,Non-Assisted,Click
53,3,Vodafone Idea,IDEA,15-minute,12/9/21,12/13/21,9:15,12/13/21,12:45,2,Resistance at 16.7,16.45,15.45,16.95,2,Intraday trader,Non-Assisted,Click
54,3,Bharti Airtel,BHARTIARTL,15-minute,12/8/21,12/13/21,9:45,12/13/21,13:00,2,Resistance at 719.10,716.45,700,724.65,2.006097561,Intraday trader,Non-Assisted,Click
55,3,Reliance Industries,RELIANCE,15-minute,12/9/21,12/13/21,9:30,12/13/21,12:15,2,Resistance at 2473,2457.35,2418.85,2476.6,2,Intraday trader,Non-Assisted,Click
56,3,Bharti Airtel,BHARTIARTL,15-minute,12/13/21,12/14/21,10:30,12/14/21,9:30,5,Support at 700.55,697.25,673.85,708.95,2,Swing trader,Non-Assisted,Click
57,3,Reliance Industries,RELIANCE,15-minute,12/15/21,12/17/21,9:45,12/20/21,9:15,5,Support at 2366,2360.85,2293.55,2394.65,1.99112426,BTST,Non-Assisted,Click
58,3,Bharti Airtel,BHARTIARTL,15-minute,12/21/21,12/21/21,14:30,12/21/21,11:00,1,Support at 660,663.8,681.9,654.75,2,BTST,Non-Assisted,Click
59,3,Vodafone Idea,IDEA,15-minute,12/20/21,12/24/21,10:00,12/24/21,14:15,1,Supports at 13.40,13.45,13.85,13.25,2,Intraday trader,Non-Assisted,Click
60,3,Reliance Industries,RELIANCE,15-minute,12/24/21,12/28/21,14:00,12/29/21,9:15,6,Resistance at 2387,2390.45,2411.55,2379.9,2,BTST,Non-Assisted,Click
61,6,Wipro,WIPRO,60-minute,6/22/21,7/14/21,10:00,7/14/21,11:00,31,Falling channel breakout,531.55,557.4,518.65,2.003875969,Intraday trader,Non-Assisted,Click
62,7,ITC Ltd,ITC,15-minute,12/20/21,12/23/21,9:15,12/23/21,10:15,21,Double bottom between (210-211) and 215,215.55,219.75,213.45,2,BTST,Non-assisted,Click
63,8,ICICI Bank,ICICIBANK,15-minute,1/4/22,1/5/22,9:15,1/5/22,10:15,8,Resistance band at (775-778),780.25,791.85,774.45,2,Intraday trader,Non-Assisted,Click
64,9,Adani Ports,ADANIPORTS,15-minute,1/3/22,1/6/22,12:30,1/6/22,13:00,1,Support at 730,731.75,740.55,727.4,2.022988506,Intraday trader,Non-Assisted,Click1
65,9,Adani Ports,ADANIPORTS,15-minute,1/3/22,1/7/22,12:45,1/7/22,13:45,1,Support at 730,733.5,741.25,729.65,2.012987013,BTST,Non-Assisted,Click2
66,10,PEL,PEL,15-minute,12/22/21,12/22/21,12:45,12/22/21,13:45,2,Resistance at 2605,2597.45,2576.9,2607.75,1.995145631,Intraday trader,Non-Assisted,Click1
67,10,PEL,PEL,15-minute,12/22/21,12/23/21,9:30,12/23/21,10:30,2,Resistance at 2605,2599.05,2576,2610.55,2.004347826,Intraday trader,Non-Assisted,Click2
